Window,Model,ACC_Mean,ACC_Std_Seed,ACC_Min_Seed,ACC_Max_Seed,CAGR_Mean,CAGR_Std_Seed,Sharpe_Mean,Sharpe_Std_Seed,MDD_Min_Seed,MDD_Max_Seed
5-day,CNN,0.5063,0.0072,0.4955,0.5154,8.352,1.026,0.8274,0.0716,-24.52,-18.14
5-day,Co-ViT-LSTM,0.548,0.0166,0.5194,0.5615,12.72,2.6786,0.9625,0.0891,-22.0,-14.41
5-day,Co-ViT-Transformer,0.5509,0.0171,0.521,0.5619,13.118,2.6893,0.954,0.1076,-22.0,-22.0
5-day,LSTM,0.557,0.0065,0.5473,0.5619,14.008,1.1389,1.0397,0.0295,-22.0,-21.47
5-day,Transformer,0.5413,0.0197,0.5197,0.5619,11.666,2.9262,0.907,0.1373,-22.0,-18.84
5-day,ViT,0.5572,0.0109,0.5377,0.5628,14.37,1.176,0.9965,0.0546,-24.01,-22.0
5-day,ViT + LSTM,0.5421,0.0202,0.5203,0.5623,12.056,2.9329,0.9057,0.1236,-23.32,-22.0
5-day,ViT + Transformer,0.5553,0.0117,0.5345,0.5619,13.822,1.7593,0.9946,0.0827,-22.0,-21.03
20-day,CNN,0.5147,0.0118,0.4994,0.5325,9.322,1.3267,0.9746,0.119,-18.15,-12.37
20-day,Co-ViT-LSTM,0.5631,0.0017,0.5607,0.5651,14.726,0.4237,1.0371,0.0176,-22.27,-21.03
20-day,Co-ViT-Transformer,0.5541,0.0155,0.5273,0.5651,13.528,2.7068,0.9685,0.1216,-22.28,-21.91
20-day,LSTM,0.5436,0.0191,0.5186,0.5619,12.816,2.4062,0.9191,0.1216,-26.52,-20.7
20-day,Transformer,0.5288,0.0117,0.5107,0.541,10.078,1.4073,0.8627,0.0867,-21.98,-17.6
20-day,ViT,0.5402,0.0194,0.5091,0.5611,12.06,2.6005,0.9059,0.1115,-22.63,-20.11
20-day,ViT + LSTM,0.5553,0.0069,0.5481,0.5647,13.756,1.282,0.9906,0.0462,-25.41,-21.4
20-day,ViT + Transformer,0.5499,0.0126,0.5322,0.5647,13.354,1.2611,0.9536,0.0597,-22.63,-21.03
60-day,CNN,0.4898,0.0205,0.4663,0.5199,5.972,2.2226,0.6293,0.1702,-22.56,-15.65
60-day,Co-ViT-LSTM,0.5292,0.0186,0.5111,0.5583,10.41,2.4758,0.8387,0.1271,-24.98,-21.03
60-day,Co-ViT-Transformer,0.5033,0.034,0.4666,0.5476,7.176,4.5368,0.6062,0.2744,-23.36,-21.03
60-day,LSTM,0.4927,0.0226,0.4623,0.51,6.84,2.5916,0.631,0.1489,-24.98,-19.29
60-day,Transformer,0.503,0.0188,0.4864,0.5274,6.206,1.8737,0.5947,0.1038,-24.51,-15.49
60-day,ViT,0.5474,0.0096,0.5372,0.5619,12.882,1.4968,0.9408,0.0572,-24.4,-22.0
60-day,ViT + LSTM,0.534,0.0096,0.5202,0.5456,11.018,1.455,0.8611,0.0762,-22.0,-21.12
60-day,ViT + Transformer,0.502,0.037,0.4599,0.5365,7.354,4.4254,0.6354,0.2764,-22.0,-21.03
