Model,Pass,Mean_ACC,Std_ACC,Mean_F1,Std_F1,Mean_Precision,Std_Precision,Mean_Recall,Std_Recall
CNN,pass01,0.4634921999999999,0.0171601063283418,0.4409189999999999,0.0365512958388618,0.45857,0.0196971218075128,0.4672338,0.0166581067561712
CNN,pass02,0.4876496,0.0502054177684042,0.4768924,0.0519221702339183,0.490211,0.0406790715356189,0.4927539999999999,0.034679486537433
CNN,pass03,0.4876496,0.0359230317943795,0.46663,0.0541112580199351,0.494672,0.0379109393579214,0.4969059999999999,0.0331378391646166
CNN,pass04,0.5198411999999999,0.0459360307569123,0.5040722,0.0284330377237466,0.5342872,0.0310262760204959,0.5307048,0.0300346015738514
CNN,pass05,0.557312,0.0372884729239479,0.5053618,0.032517904755688,0.51562,0.0405891461353894,0.5122516,0.0304836244859432
CNN,pass06,0.5103175999999999,0.0394439580328851,0.4606868,0.039778061537737,0.4852936,0.0265262812470952,0.4882305999999999,0.0266687959851958
CNN,pass07,0.5290836000000001,0.0302631435297128,0.5229532,0.0345532866772467,0.532266,0.0293836965509787,0.530818,0.0296124136469825
CNN,pass08,0.508,0.0372021504754765,0.4986088000000001,0.0458087314515475,0.5066096,0.0391789316316818,0.508,0.0372021504754765
CNN,pass09,0.4730156,0.0164574043457648,0.4562036,0.0293996776819066,0.4877858,0.0494157669949581,0.4867452,0.0437649126264407
CNN,pass10,0.6104416,0.0623461967508845,0.5077864,0.0342004746209756,0.5211946000000001,0.0297689733665775,0.5200032,0.0240692992876817
LSTM,pass01,0.473016,0.0339510799754588,0.363828,0.0375136592323382,0.3554614,0.0720158085895034,0.463982,0.0309957597825896
LSTM,pass02,0.523506,0.0766143971130752,0.3634056,0.0119620692524328,0.300533,0.0484086356448929,0.4771236,0.0511531854804761
LSTM,pass03,0.4741039999999999,0.0,0.321622,0.0,0.2370519999999999,0.0,0.5,0.0
LSTM,pass04,0.5619048,0.045122916868261,0.4143328,0.0437543138181825,0.3872916,0.079946615202271,0.4790352,0.0235579926712782
LSTM,pass05,0.611067,0.003535223472427,0.379291,0.0013662375342523,0.3060154,0.0006900505778564,0.4987096,0.0028854221181657
LSTM,pass06,0.559524,0.0,0.358779,0.0,0.279762,0.0,0.5,0.0
LSTM,pass07,0.4916335999999999,0.0035633979289437,0.3323076,0.0076710548036107,0.3454136,0.2244869141059229,0.5015624,0.0034936326080456
LSTM,pass08,0.4864,0.0199198393567819,0.3707928,0.0641071606390425,0.35166,0.1021031871613222,0.4864,0.0199198393567819
LSTM,pass09,0.5420634000000001,0.0750618826755631,0.3942662,0.0491505840270489,0.3871148,0.1250971688296741,0.5005098,0.0113214617077478
LSTM,pass10,0.7124498,0.0078291638570156,0.4360605999999999,0.0300548914953955,0.5356066,0.251998979499521,0.5103906,0.0142633262530168
Transformer,pass01,0.4888887999999999,0.0344118324519343,0.4202642,0.0308151684840436,0.5109462,0.0880830514724597,0.4899982,0.0349283657748255
Transformer,pass02,0.5713146,0.0817751836090876,0.4778884,0.1090478264240054,0.572123,0.2076319262384761,0.552265,0.0427538200924782
Transformer,pass03,0.4804782,0.0114781050788011,0.4071582,0.0503839061923547,0.4479908,0.1194769813717269,0.4991915999999999,0.0127118682655225
Transformer,pass04,0.4785714,0.0520883994215603,0.4501316,0.065811612416047,0.5417365999999999,0.0696832402899004,0.5210576,0.0484604824191835
Transformer,pass05,0.5620552,0.0687680184729791,0.4697426,0.0605896930203479,0.476604,0.1053815340204345,0.504865,0.0354239170406097
Transformer,pass06,0.5460318,0.0301694763660226,0.3851214,0.0589033970904904,0.3223166,0.0951549783553125,0.4984858,0.0033858541315301
Transformer,pass07,0.4972112,0.0293311458299876,0.3948758,0.0428183550209486,0.4813782,0.1644445220087917,0.5055069999999999,0.0297376022654819
Transformer,pass08,0.504,0.0149666295470957,0.4736488,0.0378946613218801,0.5040384,0.0185295254202583,0.504,0.0149666295470957
Transformer,pass09,0.5142858,0.0864675899438628,0.4162586,0.0489688816984827,0.5052068000000001,0.1276131000865507,0.5195296,0.0217063903102289
Transformer,pass10,0.6449798,0.0881522514840092,0.4550912,0.0326359026181289,0.5475874000000001,0.1900794753499177,0.5131694,0.0366972946591434
